mes,Bola1,count_MM_bola1,Bola2,count_MM_bola2,Bola3,count_MM_bola3,Bola4,count_MM_bola4,Bola5,count_MM_bola5,Bola6,count_MM_bola6
04,11,8,0,0,0,0,0,0,0,0,0,0
04,12,8,0,0,0,0,0,0,0,0,0,0
04,13,5,0,0,0,0,0,0,0,0,0,0
04,14,8,0,0,0,0,0,0,0,0,0,0
04,15,7,0,0,0,0,0,0,0,0,0,0
04,16,5,0,0,0,0,0,0,0,0,0,0
04,17,5,0,0,0,0,0,0,0,0,0,0
04,18,2,0,0,0,0,0,0,0,0,0,0
04,19,1,0,0,0,0,0,0,0,0,0,0
04,20,6,0,0,0,0,0,0,0,0,0,0
04,21,1,0,0,0,0,0,0,0,0,0,0
04,22,3,0,0,0,0,0,0,0,0,0,0
04,23,1,0,0,0,0,0,0,0,0,0,0
04,24,2,0,0,0,0,0,0,0,0,0,0
04,25,2,0,0,0,0,0,0,0,0,0,0
04,27,1,0,0,0,0,0,0,0,0,0,0
04,30,2,0,0,0,0,0,0,0,0,0,0
04,31,3,0,0,0,0,0,0,0,0,0,0
04,35,1,0,0,0,0,0,0,0,0,0,0
04,39,1,0,0,0,0,0,0,0,0,0,0
05,1,29,0,0,0,0,0,0,0,0,0,0
05,2,25,0,0,0,0,0,0,0,0,0,0
05,3,10,0,0,0,0,0,0,0,0,0,0
05,4,20,0,0,0,0,0,0,0,0,0,0
05,5,19,0,0,0,0,0,0,0,0,0,0
05,6,13,0,0,0,0,0,0,0,0,0,0
05,7,18,0,0,0,0,0,0,0,0,0,0
05,8,20,0,0,0,0,0,0,0,0,0,0
05,9,9,0,0,0,0,0,0,0,0,0,0
05,10,14,0,0,0,0,0,0,0,0,0,0
05,11,6,0,0,0,0,0,0,0,0,0,0
05,12,11,0,0,0,0,0,0,0,0,0,0
05,13,6,0,0,0,0,0,0,0,0,0,0
05,14,6,0,0,0,0,0,0,0,0,0,0
05,15,8,0,0,0,0,0,0,0,0,0,0
05,16,2,0,0,0,0,0,0,0,0,0,0
05,17,5,0,0,0,0,0,0,0,0,0,0
05,18,3,0,0,0,0,0,0,0,0,0,0
05,19,5,0,0,0,0,0,0,0,0,0,0
05,20,5,0,0,0,0,0,0,0,0,0,0
05,21,3,0,0,0,0,0,0,0,0,0,0
05,22,1,0,0,0,0,0,0,0,0,0,0
05,23,5,0,0,0,0,0,0,0,0,0,0
05,25,1,0,0,0,0,0,0,0,0,0,0
05,26,1,0,0,0,0,0,0,0,0,0,0
05,27,3,0,0,0,0,0,0,0,0,0,0
05,29,1,0,0,0,0,0,0,0,0,0,0
05,33,1,0,0,0,0,0,0,0,0,0,0
