mes_ano,dezenas_combinadas,count_combinacao_MMYY
02/2006,21-30|21-30|21-30|31-40|31-40|51-60,1
02/2006,21-30|21-30|41-50|41-50|41-50|51-60,1
02/2007,1-10|1-10|11-20|11-20|31-40|41-50,1
02/2007,1-10|1-10|21-30|41-50|51-60|51-60,1
02/2007,1-10|11-20|31-40|31-40|41-50|41-50,1
02/2007,1-10|21-30|31-40|31-40|31-40|51-60,1
02/2007,11-20|11-20|11-20|31-40|41-50|51-60,1
02/2007,11-20|21-30|31-40|31-40|41-50|51-60,1
02/2007,11-20|21-30|31-40|41-50|51-60|51-60,1
02/2008,1-10|1-10|11-20|11-20|31-40|51-60,1
02/2008,1-10|1-10|11-20|41-50|51-60|51-60,2
02/2008,1-10|1-10|21-30|41-50|51-60|51-60,1
02/2008,1-10|11-20|11-20|21-30|51-60|51-60,1
02/2008,1-10|11-20|21-30|41-50|41-50|51-60,1
02/2008,1-10|21-30|31-40|31-40|31-40|51-60,1
02/2008,11-20|31-40|41-50|51-60|51-60|51-60,1
02/2009,1-10|1-10|1-10|1-10|11-20|41-50,1
02/2009,1-10|1-10|1-10|11-20|31-40|41-50,1
02/2009,1-10|1-10|11-20|11-20|41-50|51-60,1
02/2009,1-10|1-10|11-20|21-30|31-40|51-60,1
02/2009,1-10|11-20|11-20|11-20|51-60|51-60,1
02/2009,1-10|11-20|21-30|21-30|31-40|51-60,1
02/2009,11-20|21-30|21-30|31-40|41-50|51-60,1
02/2009,21-30|31-40|41-50|51-60|51-60|51-60,1
02/2010,1-10|1-10|11-20|21-30|21-30|51-60,1
02/2010,1-10|11-20|11-20|21-30|21-30|21-30,1
02/2010,1-10|11-20|11-20|31-40|41-50|51-60,1
02/2010,1-10|21-30|31-40|41-50|41-50|41-50,1
02/2010,1-10|21-30|41-50|41-50|41-50|41-50,1
02/2010,11-20|11-20|21-30|31-40|31-40|51-60,1
02/2010,11-20|11-20|21-30|31-40|41-50|41-50,1
02/2010,11-20|21-30|31-40|41-50|51-60|51-60,1
02/2011,1-10|1-10|11-20|11-20|21-30|31-40,1
02/2011,1-10|1-10|31-40|41-50|51-60|51-60,1
02/2011,1-10|11-20|21-30|21-30|21-30|51-60,1
02/2011,1-10|11-20|21-30|41-50|41-50|51-60,1
02/2011,1-10|21-30|31-40|31-40|51-60|51-60,1
02/2011,11-20|21-30|21-30|31-40|41-50|51-60,1
02/2011,11-20|21-30|41-50|51-60|51-60|51-60,1
02/2011,21-30|31-40|31-40|31-40|41-50|51-60,1
02/2012,1-10|1-10|11-20|11-20|21-30|51-60,1
02/2012,1-10|11-20|11-20|21-30|31-40|51-60,1
02/2012,1-10|11-20|11-20|21-30|41-50|51-60,1
02/2012,1-10|11-20|11-20|31-40|41-50|51-60,1
02/2012,1-10|21-30|21-30|31-40|31-40|41-50,1
02/2012,11-20|21-30|31-40|41-50|51-60|51-60,1
02/2012,21-30|21-30|21-30|31-40|31-40|41-50,1
02/2012,21-30|31-40|41-50|41-50|51-60|51-60,1
02/2013,1-10|1-10|1-10|11-20|11-20|31-40,1
02/2013,1-10|1-10|11-20|31-40|31-40|51-60,1
02/2013,1-10|11-20|11-20|21-30|41-50|51-60,1
02/2013,1-10|11-20|31-40|51-60|51-60|51-60,1
02/2013,1-10|21-30|31-40|31-40|31-40|51-60,1
02/2013,1-10|31-40|31-40|31-40|51-60|51-60,1
02/2013,11-20|11-20|21-30|21-30|41-50|41-50,1
02/2013,21-30|21-30|21-30|41-50|51-60|51-60,1
02/2014,1-10|1-10|1-10|11-20|41-50|51-60,1
02/2014,1-10|11-20|21-30|31-40|31-40|31-40,1
02/2014,1-10|21-30|21-30|31-40|41-50|41-50,1
02/2014,1-10|21-30|31-40|41-50|51-60|51-60,1
02/2014,11-20|11-20|21-30|21-30|21-30|41-50,1
02/2014,11-20|11-20|21-30|31-40|51-60|51-60,1
02/2014,11-20|11-20|21-30|41-50|41-50|51-60,1
02/2014,11-20|21-30|41-50|41-50|41-50|41-50,1
02/2015,1-10|1-10|1-10|11-20|31-40|41-50,1
02/2015,1-10|1-10|11-20|31-40|41-50|51-60,1
02/2015,1-10|1-10|21-30|21-30|41-50|41-50,1
02/2015,1-10|11-20|11-20|11-20|31-40|51-60,1
02/2015,1-10|11-20|21-30|31-40|51-60|51-60,1
02/2015,1-10|11-20|31-40|31-40|31-40|51-60,2
02/2015,21-30|31-40|31-40|41-50|41-50|51-60,1
02/2016,1-10|1-10|1-10|21-30|21-30|31-40,1
02/2016,1-10|1-10|11-20|21-30|21-30|21-30,1
02/2016,1-10|1-10|31-40|31-40|31-40|51-60,1
02/2016,1-10|11-20|11-20|11-20|41-50|41-50,1
02/2016,1-10|11-20|41-50|41-50|51-60|51-60,1
02/2016,1-10|21-30|41-50|51-60|51-60|51-60,1
02/2016,11-20|11-20|21-30|21-30|21-30|41-50,1
02/2016,11-20|11-20|21-30|51-60|51-60|51-60,1
02/2016,11-20|11-20|41-50|41-50|51-60|51-60,1
02/2017,1-10|1-10|1-10|11-20|21-30|21-30,1
02/2017,1-10|1-10|11-20|21-30|41-50|41-50,1
02/2017,1-10|11-20|21-30|21-30|41-50|41-50,1
02/2017,1-10|21-30|31-40|31-40|31-40|51-60,1
02/2017,1-10|21-30|31-40|31-40|41-50|41-50,1
02/2017,11-20|11-20|11-20|21-30|51-60|51-60,1
02/2017,11-20|11-20|21-30|21-30|31-40|51-60,1
02/2017,11-20|21-30|31-40|31-40|41-50|41-50,1
02/2017,21-30|31-40|41-50|51-60|51-60|51-60,1
02/2018,1-10|1-10|11-20|21-30|31-40|51-60,1
02/2018,1-10|1-10|11-20|31-40|31-40|51-60,1
02/2018,1-10|11-20|11-20|11-20|21-30|41-50,1
02/2018,1-10|11-20|21-30|31-40|31-40|51-60,1
02/2018,1-10|21-30|21-30|31-40|51-60|51-60,1
02/2018,1-10|21-30|31-40|31-40|51-60|51-60,1
02/2018,11-20|11-20|21-30|31-40|31-40|51-60,1
02/2018,11-20|21-30|21-30|21-30|51-60|51-60,1
02/2018,11-20|31-40|31-40|41-50|51-60|51-60,1
02/2019,1-10|1-10|11-20|21-30|31-40|31-40,1
02/2019,1-10|1-10|21-30|21-30|41-50|41-50,1
02/2019,1-10|11-20|11-20|21-30|21-30|41-50,1
02/2019,1-10|11-20|11-20|31-40|41-50|41-50,1
02/2019,1-10|11-20|21-30|21-30|31-40|51-60,1
02/2019,1-10|11-20|31-40|31-40|41-50|51-60,1
02/2019,1-10|31-40|41-50|41-50|51-60|51-60,1
02/2019,11-20|11-20|21-30|41-50|51-60|51-60,1
02/2019,11-20|11-20|41-50|41-50|51-60|51-60,1
02/2020,1-10|1-10|31-40|31-40|31-40|41-50,1
02/2020,1-10|1-10|31-40|31-40|41-50|41-50,1
02/2020,1-10|11-20|21-30|31-40|51-60|51-60,2
02/2020,1-10|11-20|31-40|41-50|41-50|51-60,1
02/2020,1-10|21-30|21-30|21-30|41-50|41-50,1
02/2020,11-20|11-20|21-30|21-30|51-60|51-60,1
02/2020,11-20|11-20|21-30|31-40|51-60|51-60,1
02/2020,11-20|31-40|41-50|51-60|51-60|51-60,1
02/2021,1-10|1-10|1-10|41-50|51-60|51-60,1
02/2021,1-10|1-10|11-20|21-30|51-60|51-60,1
02/2021,1-10|1-10|11-20|31-40|41-50|51-60,1
02/2021,1-10|1-10|31-40|31-40|41-50|41-50,1
02/2021,1-10|11-20|11-20|21-30|21-30|51-60,1
02/2021,1-10|31-40|41-50|41-50|41-50|51-60,1
02/2021,11-20|11-20|21-30|21-30|31-40|51-60,1
02/2021,11-20|11-20|21-30|31-40|51-60|51-60,1
02/2022,1-10|1-10|11-20|11-20|11-20|31-40,1
02/2022,1-10|1-10|51-60|51-60|51-60|51-60,1
02/2022,1-10|11-20|11-20|21-30|31-40|41-50,1
02/2022,1-10|11-20|21-30|21-30|41-50|41-50,1
02/2022,1-10|11-20|41-50|41-50|41-50|41-50,1
02/2022,11-20|21-30|31-40|41-50|51-60|51-60,1
02/2022,11-20|31-40|41-50|41-50|41-50|51-60,1
02/2022,21-30|31-40|31-40|41-50|51-60|51-60,1
02/2022,21-30|31-40|41-50|51-60|51-60|51-60,1
02/2023,1-10|1-10|11-20|11-20|31-40|41-50,1
02/2023,1-10|1-10|11-20|11-20|41-50|51-60,1
02/2023,1-10|1-10|11-20|21-30|31-40|41-50,1
02/2023,1-10|11-20|11-20|31-40|51-60|51-60,1
02/2023,1-10|11-20|21-30|31-40|41-50|51-60,1
02/2023,1-10|11-20|31-40|41-50|51-60|51-60,1
02/2023,11-20|21-30|21-30|31-40|31-40|41-50,1
02/2023,11-20|21-30|31-40|41-50|51-60|51-60,1
02/2023,11-20|21-30|41-50|51-60|51-60|51-60,1
02/2024,1-10|1-10|21-30|21-30|31-40|41-50,1
02/2024,1-10|1-10|21-30|21-30|41-50|51-60,1
02/2024,1-10|11-20|11-20|41-50|41-50|51-60,2
02/2024,1-10|11-20|21-30|21-30|41-50|51-60,1
02/2024,1-10|11-20|31-40|41-50|41-50|51-60,1
02/2024,1-10|21-30|31-40|41-50|41-50|51-60,1
02/2024,1-10|31-40|41-50|51-60|51-60|51-60,1
02/2024,11-20|11-20|21-30|31-40|31-40|51-60,1
02/2024,11-20|11-20|31-40|41-50|41-50|51-60,1
02/2024,11-20|21-30|41-50|41-50|41-50|41-50,1
