mes_ano,faixa_Bola1,count_faixa_bola1,faixa_Bola2,count_faixa_bola2,faixa_Bola3,count_faixa_bola3,faixa_Bola4,count_faixa_bola4,faixa_Bola5,count_faixa_bola5,faixa_Bola6,count_faixa_bola6
07/2022,11-20,4,,,,,,,,,,
07/2023,1-10,8,,,,,,,,,,
07/2023,11-20,2,,,,,,,,,,
07/2024,1-10,9,,,,,,,,,,
07/2024,11-20,2,,,,,,,,,,
07/2024,21-30,1,,,,,,,,,,
07/2025,1-10,8,,,,,,,,,,
07/2025,11-20,6,,,,,,,,,,
08/1996,1-10,2,,,,,,,,,,
08/1996,11-20,1,,,,,,,,,,
08/1996,21-30,1,,,,,,,,,,
08/1997,1-10,2,,,,,,,,,,
08/1997,11-20,1,,,,,,,,,,
08/1997,21-30,2,,,,,,,,,,
08/1998,1-10,3,,,,,,,,,,
08/1998,11-20,1,,,,,,,,,,
08/1998,21-30,1,,,,,,,,,,
08/1999,1-10,4,,,,,,,,,,
08/2000,1-10,1,,,,,,,,,,
08/2000,11-20,3,,,,,,,,,,
08/2001,1-10,6,,,,,,,,,,
08/2001,11-20,1,,,,,,,,,,
08/2001,21-30,2,,,,,,,,,,
08/2002,1-10,4,,,,,,,,,,
08/2002,11-20,2,,,,,,,,,,
08/2002,21-30,3,,,,,,,,,,
08/2003,1-10,6,,,,,,,,,,
08/2003,11-20,3,,,,,,,,,,
08/2004,1-10,5,,,,,,,,,,
08/2004,11-20,3,,,,,,,,,,
08/2005,1-10,5,,,,,,,,,,
08/2005,11-20,4,,,,,,,,,,
08/2006,1-10,7,,,,,,,,,,
08/2006,11-20,2,,,,,,,,,,
08/2007,1-10,6,,,,,,,,,,
08/2007,11-20,3,,,,,,,,,,
08/2008,1-10,7,,,,,,,,,,
08/2008,11-20,1,,,,,,,,,,
08/2008,21-30,1,,,,,,,,,,
08/2009,1-10,7,,,,,,,,,,
08/2009,11-20,2,,,,,,,,,,
08/2010,1-10,8,,,,,,,,,,
08/2011,1-10,9,,,,,,,,,,
08/2011,31-40,1,,,,,,,,,,
08/2012,1-10,6,,,,,,,,,,
08/2012,11-20,2,,,,,,,,,,
08/2012,21-30,2,,,,,,,,,,
08/2013,1-10,8,,,,,,,,,,
08/2013,11-20,1,,,,,,,,,,
08/2013,21-30,1,,,,,,,,,,
08/2014,1-10,6,,,,,,,,,,
08/2014,11-20,2,,,,,,,,,,
08/2014,21-30,1,,,,,,,,,,
08/2014,31-40,1,,,,,,,,,,
08/2015,1-10,7,,,,,,,,,,
08/2015,11-20,2,,,,,,,,,,
08/2015,21-30,1,,,,,,,,,,
08/2016,1-10,8,,,,,,,,,,
08/2016,11-20,1,,,,,,,,,,
08/2016,21-30,1,,,,,,,,,,
08/2017,1-10,7,,,,,,,,,,
08/2017,11-20,3,,,,,,,,,,
08/2018,1-10,8,,,,,,,,,,
08/2018,11-20,1,,,,,,,,,,
08/2018,21-30,1,,,,,,,,,,
08/2019,1-10,7,,,,,,,,,,
08/2019,11-20,3,,,,,,,,,,
08/2020,1-10,9,,,,,,,,,,
08/2020,11-20,1,,,,,,,,,,
08/2021,1-10,8,,,,,,,,,,
08/2021,21-30,1,,,,,,,,,,
08/2022,1-10,7,,,,,,,,,,
08/2022,11-20,1,,,,,,,,,,
08/2022,21-30,1,,,,,,,,,,
08/2022,41-50,1,,,,,,,,,,
08/2023,1-10,10,,,,,,,,,,
08/2023,11-20,1,,,,,,,,,,
08/2024,1-10,10,,,,,,,,,,
08/2024,11-20,4,,,,,,,,,,
08/2025,1-10,7,,,,,,,,,,
08/2025,11-20,4,,,,,,,,,,
08/2025,21-30,1,,,,,,,,,,
08/2025,31-40,1,,,,,,,,,,
09/1996,1-10,4,,,,,,,,,,
09/1996,11-20,1,,,,,,,,,,
09/1997,1-10,2,,,,,,,,,,
09/1997,11-20,1,,,,,,,,,,
09/1997,21-30,1,,,,,,,,,,
09/1998,1-10,4,,,,,,,,,,
09/1999,1-10,2,,,,,,,,,,
09/1999,11-20,2,,,,,,,,,,
09/2000,1-10,5,,,,,,,,,,
09/2001,1-10,6,,,,,,,,,,
09/2001,11-20,1,,,,,,,,,,
09/2001,21-30,2,,,,,,,,,,
09/2002,1-10,7,,,,,,,,,,
09/2002,11-20,1,,,,,,,,,,
09/2003,1-10,5,,,,,,,,,,
09/2003,11-20,1,,,,,,,,,,
09/2003,21-30,1,,,,,,,,,,
09/2004,1-10,6,,,,,,,,,,
09/2004,11-20,2,,,,,,,,,,
09/2004,21-30,1,,,,,,,,,,
09/2005,1-10,5,,,,,,,,,,
09/2005,11-20,1,,,,,,,,,,
09/2005,21-30,1,,,,,,,,,,
09/2006,1-10,6,,,,,,,,,,
09/2006,11-20,3,,,,,,,,,,
09/2007,1-10,5,,,,,,,,,,
09/2007,11-20,3,,,,,,,,,,
09/2007,31-40,1,,,,,,,,,,
09/2008,1-10,6,,,,,,,,,,
09/2008,11-20,1,,,,,,,,,,
09/2008,21-30,1,,,,,,,,,,
09/2009,1-10,9,,,,,,,,,,
09/2010,1-10,9,,,,,,,,,,
09/2011,1-10,6,,,,,,,,,,
09/2011,11-20,2,,,,,,,,,,
09/2012,1-10,8,,,,,,,,,,
09/2012,11-20,1,,,,,,,,,,
